,SUBJECT,SNR,CHOICE,TALKER,RESULT
185,1,-3.0,synthesized,0,0
186,1,-3.0,synthesized,0,0
187,1,-3.0,natural,2,0
188,1,-3.0,natural,2,1
189,1,-3.0,natural,2,1
190,1,-3.0,natural,2,0
191,1,-3.0,natural,2,0
192,1,-6.0,natural,0,1
193,1,-6.0,natural,0,0
194,1,-6.0,natural,0,0
195,1,-9.0,audio-only,0,0
196,1,-9.0,audio-only,0,0
197,1,-9.0,audio-only,0,0
198,1,-9.0,audio-only,0,0
199,1,-9.0,synthesized,0,1
200,1,-9.0,synthesized,0,0
201,1,-9.0,synthesized,0,0
202,1,-3.0,synthesized,2,1
203,1,-3.0,synthesized,2,1
204,1,-3.0,synthesized,2,1
205,1,-3.0,synthesized,2,1
206,1,0.0,synthesized,2,1
207,1,0.0,synthesized,2,1
208,1,0.0,synthesized,2,1
209,1,0.0,synthesized,2,1
210,1,0.0,synthesized,2,1
211,1,-3.0,natural,0,1
212,1,-3.0,natural,0,1
213,1,-3.0,natural,0,1
214,1,-3.0,natural,0,1
215,1,-6.0,synthesized,2,1
216,1,-6.0,synthesized,2,1
217,1,-6.0,synthesized,2,1
218,1,-6.0,synthesized,2,1
219,1,0.0,audio-only,3,0
220,1,0.0,audio-only,3,1
221,1,0.0,audio-only,3,1
222,1,0.0,audio-only,3,0
223,1,-9.0,natural,2,0
224,1,-9.0,natural,2,0
225,1,-9.0,natural,2,0
226,1,-9.0,natural,2,0
227,1,0.0,natural,1,0
228,1,0.0,natural,1,1
229,1,0.0,natural,1,1
230,1,-3.0,audio-only,2,0
231,1,-3.0,audio-only,2,0
232,1,-3.0,audio-only,2,0
233,1,-3.0,audio-only,2,0
234,1,-3.0,audio-only,2,0
235,1,-6.0,audio-only,2,1
236,1,-6.0,audio-only,2,1
237,1,-6.0,audio-only,2,0
238,1,-3.0,synthesized,3,1
239,1,-3.0,synthesized,3,1
240,1,-3.0,synthesized,3,1
241,1,-9.0,natural,1,0
242,1,-9.0,natural,1,0
243,1,-9.0,natural,1,0
244,1,-9.0,natural,1,0
245,1,0.0,synthesized,0,0
246,1,0.0,synthesized,0,0
247,1,0.0,synthesized,0,0
248,1,-3.0,natural,3,0
249,1,-3.0,natural,3,0
250,1,-3.0,natural,3,0
251,1,-3.0,natural,3,0
252,1,-3.0,natural,3,0
253,1,-9.0,synthesized,0,0
254,1,-9.0,synthesized,0,1
255,1,-9.0,synthesized,0,0
256,1,-9.0,synthesized,0,0
257,1,-3.0,audio-only,0,1
258,1,-3.0,audio-only,0,1
259,1,-3.0,audio-only,0,1
260,1,-3.0,audio-only,0,0
261,1,0.0,natural,3,0
262,1,0.0,natural,3,0
263,1,0.0,natural,3,0
264,1,0.0,natural,3,1
265,1,0.0,natural,3,1
266,1,-6.0,synthesized,3,0
267,1,-6.0,synthesized,3,0
268,1,-6.0,synthesized,3,0
269,1,-6.0,natural,2,1
270,1,-6.0,natural,2,0
271,1,-6.0,natural,2,0
272,1,0.0,audio-only,2,1
273,1,0.0,audio-only,2,1
274,1,0.0,audio-only,2,1
275,1,-9.0,audio-only,2,0
276,1,-9.0,audio-only,2,0
277,1,-9.0,audio-only,2,0
278,1,-6.0,audio-only,3,0
279,1,-6.0,audio-only,3,0
280,1,-6.0,audio-only,3,0
281,1,-6.0,audio-only,3,0
282,1,-3.0,audio-only,3,0
283,1,-3.0,audio-only,3,0
284,1,-3.0,audio-only,3,1
285,1,-3.0,audio-only,3,0
286,1,-9.0,synthesized,3,0
287,1,-9.0,synthesized,3,0
288,1,-9.0,synthesized,3,0
289,1,-9.0,synthesized,3,0
290,1,-9.0,audio-only,2,1
291,1,-9.0,audio-only,2,0
292,1,-9.0,audio-only,2,0
293,1,-9.0,audio-only,2,0
294,1,-9.0,audio-only,2,0
295,1,-3.0,synthesized,1,1
296,1,-3.0,synthesized,1,1
297,1,-3.0,synthesized,1,1
298,1,-3.0,synthesized,1,1
299,1,0.0,audio-only,3,0
300,1,0.0,audio-only,3,0
301,1,0.0,audio-only,3,0
302,1,0.0,audio-only,3,1
303,1,0.0,audio-only,3,0
304,1,0.0,synthesized,3,0
305,1,0.0,synthesized,3,1
306,1,0.0,synthesized,3,0
307,1,0.0,synthesized,3,0
308,1,-6.0,audio-only,2,1
309,1,-6.0,audio-only,2,0
310,1,-6.0,audio-only,2,1
311,1,-6.0,audio-only,2,1
312,1,-6.0,synthesized,0,1
313,1,-6.0,synthesized,0,1
314,1,-6.0,synthesized,0,0
315,1,-3.0,natural,0,1
316,1,-3.0,natural,0,1
317,1,-3.0,natural,0,0
318,1,-3.0,natural,0,0
319,1,-9.0,natural,1,1
320,1,-9.0,natural,1,0
321,1,-9.0,natural,1,0
322,1,-6.0,natural,2,0
323,1,-6.0,natural,2,1
324,1,-6.0,natural,2,0
